1.19,-15.49,-17.23,0.03,0.00,1.00
2.38,-15.49,-17.23,0.03,0.01,1.00
1.19,-15.49,-19.52,0.02,-0.00,1.00
0.00,-14.30,-17.23,0.03,0.00,1.00
4.77,-14.30,-19.52,0.03,0.00,1.00
3.57,-14.30,-19.52,0.03,0.17,0.98
3.57,-14.30,-20.67,0.03,0.07,1.00
20.25,-17.87,-22.97,-0.15,0.09,0.98
47.66,-25.02,-6.89,-0.04,0.73,0.68
58.38,-26.21,6.89,-0.13,0.97,0.20
60.76,-21.45,13.78,-0.21,0.96,0.15
63.14,-25.02,25.27,-0.29,0.95,0.12
61.95,-22.64,50.53,-0.30,0.60,-0.74
42.89,-15.49,68.91,0.15,0.28,-0.95
23.83,-16.68,76.95,-0.01,-0.02,-1.00
-2.38,-13.11,78.09,-0.04,-0.44,-0.90
-27.40,-20.25,62.02,-0.27,-0.71,-0.65
-28.59,-33.36,41.34,-0.45,-0.88,-0.17
-20.25,-40.51,13.78,-0.33,-0.94,0.02
-14.30,-35.74,-9.19,-0.64,-0.62,0.45
8.34,-25.02,-20.67,-0.63,-0.38,0.67
36.93,-19.06,-17.23,-0.53,-0.03,0.85
60.76,-2.38,-9.19,0.12,0.53,0.84
67.91,11.91,6.89,-0.04,0.69,0.72
67.91,25.02,25.27,0.42,0.80,0.42
61.95,35.74,40.20,0.43,0.88,-0.22
52.42,46.46,42.49,0.62,0.77,-0.16
51.23,50.04,27.56,0.71,0.67,-0.23
61.95,36.93,31.01,0.53,0.45,-0.71
61.95,26.21,44.79,0.58,0.41,-0.70
52.42,35.74,53.98,0.83,0.16,-0.53
36.93,50.04,51.68,0.75,0.07,-0.65
19.06,59.57,47.09,0.91,-0.23,-0.35
-4.77,61.95,35.60,0.89,-0.45,0.04
-25.02,50.04,26.41,0.59,-0.76,0.27
-34.55,36.93,14.93,0.57,-0.75,0.35
-35.74,27.40,12.63,0.22,-0.76,0.62
-35.74,21.45,5.74,0.02,-0.95,0.30
-29.79,11.91,-1.15,-0.24,-0.65,0.72
-21.45,-3.57,-14.93,-0.48,-0.48,0.73
-3.57,-25.02,-18.37,-0.64,-0.21,0.74
-3.57,-25.02,-18.37,-0.89,-0.07,0.45
-3.57,-25.02,-18.37,-0.97,0.19,0.11
29.79,-42.89,2.30,-0.83,0.53,-0.14
44.08,-42.89,10.34,-0.66,0.75,0.03
52.42,-38.13,12.63,-0.55,0.83,-0.13
53.61,-33.36,13.78,-0.50,0.86,-0.06
53.61,-30.98,10.34,-0.15,0.76,0.63
57.19,-29.79,11.48,-0.11,0.89,-0.43
66.72,-20.25,35.60,-0.00,0.93,-0.36
65.53,-5.96,47.09,0.51,0.71,-0.49
